"fund","alpha_firsthalf","se_alpha_firsthalf","n_firsthalf","alpha_secondhalf","se_alpha_secondhalf","n_secondhalf"
4327,0.00198506623029358,0.00327552322762998,31,-0.00323996645215915,0.00474514374789965,30
4478,-0.00559517837035161,0.00472219958463471,31,-0.00575605268935061,0.00562617034905523,30
4495,-0.00303593191489073,0.00163117556895376,31,-0.00253021235070327,0.00206738996381757,30
4514,0.00465930723789165,0.00207675383554096,31,-0.00170664738573566,0.0025309439600582,30
4516,0.00401804150791425,0.00209059527404651,31,-0.00235129765489682,0.00253032608092778,30
4532,-0.00165750214720369,0.00315016556011876,31,0.000759351158379473,0.00276750193573773,30
4541,0.00124000974747308,0.00359847969254901,31,-0.00292922542341545,0.00518257988418468,30
4543,0.000585144860352146,0.00360023976772594,31,-0.00348800713635419,0.00521208719611917,30
4546,-0.00156485808898028,0.00256500062670017,31,0.00396676562737551,0.00226806693559291,30
4548,-0.0022035729989864,0.00255456306336948,31,0.00327001289022557,0.00226878675502736,30
4551,0.00504983399454348,0.00218986470807468,31,0.00367205655333081,0.00242535609707793,30
4629,0.000491245026446509,0.00261292471097588,31,0.00193928562781558,0.0032332094576914,30
4706,-0.0108262596665833,0.00815309199049894,31,-0.00158445586327174,0.00822632094812472,30
4714,0.00363513245073496,0.00206909333598886,31,0.00150639425840117,0.00181078172276405,30
4717,-0.000778082348260907,0.00127951667559595,31,-0.00103916007582399,0.00159539150668979,30
4718,-0.00130283271951997,0.00127851358224694,31,-0.00156959255364234,0.00160299204934581,30
4719,-0.00134613258471148,0.00128277713422108,31,-0.00168509787544096,0.00161597954996888,30
4720,-0.000863250372382607,0.00123830696955343,31,-0.000990951179981718,0.00161312308133824,30
4721,-0.000662692459951924,0.00131178833698378,31,-0.00103923331920807,0.0015845671118663,30
4722,-0.00135455144311326,0.00129572860842113,31,-0.00170835558781016,0.00159376875387703,30
4723,-0.00136335108313652,0.00130883547304115,31,-0.00166140941718131,0.00159797938656353,30
4724,-0.000907825526800355,0.00130656833907403,31,-0.00123459521085305,0.00160024873614171,30
4725,-0.00038445682385656,0.00130012371063154,31,-0.000745091037062565,0.00159770238693551,30
4726,-0.000639028041305949,0.0012979104183678,31,-0.00102427879325507,0.00159862591764207,30
4727,-0.000927137201937338,0.00129292939991283,31,-0.00122806536693105,0.00159215490039488,30
4728,-0.00134549207932115,0.00127928564209794,31,-0.00169815974274277,0.00161569270642834,30
4729,-0.00134766893318042,0.00126557784350669,31,-0.00159386303713082,0.0015952516459224,30
4730,-0.000467966744570331,0.00131281287227943,31,-0.000894433872724858,0.0015853656388616,30
4731,-0.000382059120252875,0.00121749990315751,31,0.00465491227574413,0.00191027145909085,30
